series,ts,value,max,twd,gro_yr
92222155,2022-03-15T16:00:00Z,-24,1,25,1
92222155,2022-03-15T16:15:00Z,-24,1,25,1
92222155,2022-03-15T16:30:00Z,-24,1,25,1
92222155,2022-03-15T16:45:00Z,-24,1,25,1
92222155,2022-03-15T17:00:00Z,-24,1,25,1
92222155,2022-03-15T17:15:00Z,-24,1,25,1
92222155,2022-03-15T17:30:00Z,-24,1,25,1
92222155,2022-03-15T17:45:00Z,-24,1,25,1
92222155,2022-03-15T18:00:00Z,-24,1,25,1
92222155,2022-03-15T18:15:00Z,-24,1,25,1
92222155,2022-03-15T18:30:00Z,-24,1,25,1
92222155,2022-03-15T18:45:00Z,-24,1,25,1
92222155,2022-03-15T19:00:00Z,-24,1,25,1
92222155,2022-03-15T19:15:00Z,-24,1,25,1
92222155,2022-03-15T19:30:00Z,-24,1,25,1
92222155,2022-03-15T19:45:00Z,-24,1,25,1
92222155,2022-03-15T20:00:00Z,-24,1,25,1
92222155,2022-03-15T20:15:00Z,-24,1,25,1
92222155,2022-03-15T20:30:00Z,-24,1,25,1
92222155,2022-03-15T20:45:00Z,-24,1,25,1
92222155,2022-03-15T21:00:00Z,-24,1,25,1
92222155,2022-03-15T21:15:00Z,-24,1,25,1
92222155,2022-03-15T21:30:00Z,-24,1,25,1
92222155,2022-03-15T21:45:00Z,-24,1,25,1
92222155,2022-03-15T22:00:00Z,-24,1,25,1
92222155,2022-03-15T22:15:00Z,-24,1,25,1
92222155,2022-03-15T22:30:00Z,-24,1,25,1
92222155,2022-03-15T22:45:00Z,-24,1,25,1
92222155,2022-03-15T23:00:00Z,-24,1,25,1
92222155,2022-03-15T23:15:00Z,-24,1,25,1
92222155,2022-03-15T23:30:00Z,-24,1,25,1
92222155,2022-03-15T23:45:00Z,-24,1,25,1
92222155,2022-03-16T00:00:00Z,-24,1,25,1
92222155,2022-03-16T00:15:00Z,-24,1,25,1
92222155,2022-03-16T00:30:00Z,-24,1,25,1
92222155,2022-03-16T00:45:00Z,-24,1,25,1
92222155,2022-03-16T01:00:00Z,-24,1,25,1
92222155,2022-03-16T01:15:00Z,-24,1,25,1
92222155,2022-03-16T01:30:00Z,-24,1,25,1
92222155,2022-03-16T01:45:00Z,-24,1,25,1
92222155,2022-03-16T02:00:00Z,-24,1,25,1
92222155,2022-03-16T02:15:00Z,-24,1,25,1
92222155,2022-03-16T02:30:00Z,-24,1,25,1
92222155,2022-03-16T02:45:00Z,-24,1,25,1
92222155,2022-03-16T03:00:00Z,-24,1,25,1
92222155,2022-03-16T03:15:00Z,-24,1,25,1
92222155,2022-03-16T03:30:00Z,-24,1,25,1
92222155,2022-03-16T03:45:00Z,-24,1,25,1
92222155,2022-03-16T04:00:00Z,-24,1,25,1
92222155,2022-03-16T04:15:00Z,-24,1,25,1
92222155,2022-03-16T04:30:00Z,-24,1,25,1
92222155,2022-03-16T04:45:00Z,-24,1,25,1
92222155,2022-03-16T05:00:00Z,-24,1,25,1
92222155,2022-03-16T05:15:00Z,-24,1,25,1
92222155,2022-03-16T05:30:00Z,-24,1,25,1
92222155,2022-03-16T05:45:00Z,-24,1,25,1
92222155,2022-03-16T06:00:00Z,-24,1,25,1
92222155,2022-03-16T06:15:00Z,-25,1,26,1
92222155,2022-03-16T06:30:00Z,-25,1,26,1
92222155,2022-03-16T06:45:00Z,-25,1,26,1
92222155,2022-03-16T07:00:00Z,-24,1,25,1
92222155,2022-03-16T07:15:00Z,-24,1,25,1
92222155,2022-03-16T07:30:00Z,-24,1,25,1
92222155,2022-03-16T07:45:00Z,-24,1,25,1
92222155,2022-03-16T08:00:00Z,-25,1,26,1
92222155,2022-03-16T08:15:00Z,-25,1,26,1
92222155,2022-03-16T08:30:00Z,-25,1,26,1
92222155,2022-03-16T08:45:00Z,-25,1,26,1
92222155,2022-03-16T09:00:00Z,-25,1,26,1
92222155,2022-03-16T09:15:00Z,-25,1,26,1
92222155,2022-03-16T09:30:00Z,-24,1,25,1
92222155,2022-03-16T09:45:00Z,-24,1,25,1
92222155,2022-03-16T10:00:00Z,-25,1,26,1
92222155,2022-03-16T10:15:00Z,-25,1,26,1
92222155,2022-03-16T10:30:00Z,-25,1,26,1
92222155,2022-03-16T10:45:00Z,-25,1,26,1
92222155,2022-03-16T11:00:00Z,-25,1,26,1
92222155,2022-03-16T11:15:00Z,-25,1,26,1
92222155,2022-03-16T11:30:00Z,-25,1,26,1
92222155,2022-03-16T11:45:00Z,-25,1,26,1
92222155,2022-03-16T12:00:00Z,-25,1,26,1
92222155,2022-03-16T12:15:00Z,-25,1,26,1
92222155,2022-03-16T12:30:00Z,-25,1,26,1
92222155,2022-03-16T12:45:00Z,-25,1,26,1
92222155,2022-03-16T13:00:00Z,-25,1,26,1
92222155,2022-03-16T13:15:00Z,-25,1,26,1
92222155,2022-03-16T13:30:00Z,-25,1,26,1
92222155,2022-03-16T13:45:00Z,-25,1,26,1
92222155,2022-03-16T14:00:00Z,-25,1,26,1
92222155,2022-03-16T14:15:00Z,-25,1,26,1
92222155,2022-03-16T14:30:00Z,-25,1,26,1
92222155,2022-03-16T14:45:00Z,-25,1,26,1
92222155,2022-03-16T15:00:00Z,-25,1,26,1
92222155,2022-03-16T15:15:00Z,-25,1,26,1
92222155,2022-03-16T15:30:00Z,-25,1,26,1
92222155,2022-03-16T15:45:00Z,-25,1,26,1
92222155,2022-03-16T16:00:00Z,-25,1,26,1
92222155,2022-03-16T16:15:00Z,-25,1,26,1
92222155,2022-03-16T16:30:00Z,-25,1,26,1
92222155,2022-03-16T16:45:00Z,-25,1,26,1
92222155,2022-03-16T17:00:00Z,-25,1,26,1
92222155,2022-03-16T17:15:00Z,-25,1,26,1
92222155,2022-03-16T17:30:00Z,-25,1,26,1
92222155,2022-03-16T17:45:00Z,-25,1,26,1
92222155,2022-03-16T18:00:00Z,-25,1,26,1
92222155,2022-03-16T18:15:00Z,-25,1,26,1
92222155,2022-03-16T18:30:00Z,-25,1,26,1
92222155,2022-03-16T18:45:00Z,-25,1,26,1
92222155,2022-03-16T19:00:00Z,-25,1,26,1
92222155,2022-03-16T19:15:00Z,-25,1,26,1
92222155,2022-03-16T19:30:00Z,-25,1,26,1
92222155,2022-03-16T19:45:00Z,-25,1,26,1
92222155,2022-03-16T20:00:00Z,-25,1,26,1
92222155,2022-03-16T20:15:00Z,-25,1,26,1
92222155,2022-03-16T20:30:00Z,-25,1,26,1
92222155,2022-03-16T20:45:00Z,-25,1,26,1
92222155,2022-03-16T21:00:00Z,-25,1,26,1
92222155,2022-03-16T21:15:00Z,-25,1,26,1
92222155,2022-03-16T21:30:00Z,-25,1,26,1
92222155,2022-03-16T21:45:00Z,-25,1,26,1
92222155,2022-03-16T22:00:00Z,-25,1,26,1
92222155,2022-03-16T22:15:00Z,-25,1,26,1
92222155,2022-03-16T22:30:00Z,-25,1,26,1
92222155,2022-03-16T22:45:00Z,-25,1,26,1
92222155,2022-03-16T23:00:00Z,-25,1,26,1
92222155,2022-03-16T23:15:00Z,-25,1,26,1
92222155,2022-03-16T23:30:00Z,-25,1,26,1
92222155,2022-03-16T23:45:00Z,-25,1,26,1
92222155,2022-03-17T00:00:00Z,-25,1,26,1
92222155,2022-03-17T00:15:00Z,-25,1,26,1
92222155,2022-03-17T00:30:00Z,-25,1,26,1
92222155,2022-03-17T00:45:00Z,-25,1,26,1
92222155,2022-03-17T01:00:00Z,-25,1,26,1
92222155,2022-03-17T01:15:00Z,-25,1,26,1
92222155,2022-03-17T01:30:00Z,-25,1,26,1
92222155,2022-03-17T01:45:00Z,-25,1,26,1
92222155,2022-03-17T02:00:00Z,-25,1,26,1
92222155,2022-03-17T02:15:00Z,-25,1,26,1
92222155,2022-03-17T02:30:00Z,-25,1,26,1
92222155,2022-03-17T02:45:00Z,-25,1,26,1
92222155,2022-03-17T03:00:00Z,-25,1,26,1
92222155,2022-03-17T03:15:00Z,-25,1,26,1
92222155,2022-03-17T03:30:00Z,-25,1,26,1
92222155,2022-03-17T03:45:00Z,-25,1,26,1
